,title,author,year,img-url
0,1984,George Orwell,1990,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
1,1st to Die: A Novel,James Patterson,2001,http://images.amazon.com/images/P/0316666009.01.LZZZZZZZ.jpg
2,2nd Chance,James Patterson,2004,http://images.amazon.com/images/P/060629807X.01.LZZZZZZZ.jpg
3,4 Blondes,Candace Bushnell,2002,http://images.amazon.com/images/P/0451203895.01.LZZZZZZZ.jpg
4,84 Charing Cross Road,Helene Hanff,0,http://images.amazon.com/images/P/0860074382.01.LZZZZZZZ.jpg
5,A Bend in the Road,Nicholas Sparks,2001,http://images.amazon.com/images/P/0446527785.01.LZZZZZZZ.jpg
6,A Case of Need,Michael Crichton,1993,http://images.amazon.com/images/P/0525938028.01.LZZZZZZZ.jpg
7,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
8,A Civil Action,Jonathan Harr,1995,http://images.amazon.com/images/P/0394563492.01.LZZZZZZZ.jpg
9,A Cry In The Night,Mary Higgins Clark,1993,http://images.amazon.com/images/P/0671886665.01.LZZZZZZZ.jpg
10,A Darkness More Than Night,Michael Connelly,2002,http://images.amazon.com/images/P/0446667900.01.LZZZZZZZ.jpg
11,A Day Late and a Dollar Short,Terry McMillan,2002,http://images.amazon.com/images/P/0451204948.01.LZZZZZZZ.jpg
12,A Fine Balance,Rohinton Mistry,2001,http://images.amazon.com/images/P/140003065X.01.LZZZZZZZ.jpg
13,A Great Deliverance,Elizabeth George,2000,http://images.amazon.com/images/P/0553527126.01.LZZZZZZZ.jpg
14,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
15,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg
16,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg
17,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,2000,http://images.amazon.com/images/P/0452281903.01.LZZZZZZZ.jpg
18,A Man in Full,Tom Wolfe,1998,http://images.amazon.com/images/P/0553478907.01.LZZZZZZZ.jpg
